124554051584,METHOD_RETURN,RET,1,,BY_SHARING,1,0,213,2,,ANY
124554051585,METHOD_RETURN,RET,1,,BY_SHARING,2,6,68,2,,ANY
124554051586,METHOD_RETURN,RET,5,,BY_SHARING,3,19,68,2,,ANY
124554051587,METHOD_RETURN,RET,18,w.py:<module>.S,BY_SHARING,3,32,36,2,,w.py:<module>.S
124554051588,METHOD_RETURN,RET,18,w.py:<module>.S,BY_SHARING,3,32,36,2,,w.py:<module>.S
124554051589,METHOD_RETURN,RET,5,w.py:<module>.S.__init__.<returnValue>,BY_SHARING,3,19,68,2,,ANY
124554051590,METHOD_RETURN,RET,1,,BY_SHARING,4,68,213,2,,ANY
124554051591,METHOD_RETURN,RET,,,BY_VALUE,,,,2,,ANY
124554051592,METHOD_RETURN,RET,,,BY_VALUE,,,,2,,ANY
124554051593,METHOD_RETURN,RET,,,BY_VALUE,,,,2,,ANY
124554051594,METHOD_RETURN,RET,,,BY_VALUE,,,,2,,ANY
124554051595,METHOD_RETURN,RET,,,BY_VALUE,,,,2,,ANY
124554051596,METHOD_RETURN,RET,,,BY_VALUE,,,,2,,ANY
124554051597,METHOD_RETURN,RET,,,BY_VALUE,,,,2,,ANY
124554051598,METHOD_RETURN,RET,,,BY_VALUE,,,,2,,ANY
124554051599,METHOD_RETURN,RET,,,BY_VALUE,,,,2,,ANY
124554051600,METHOD_RETURN,RET,,,BY_VALUE,,,,2,,ANY
