107374182400,METHOD,<empty>,<empty>,<empty>,1,22,w.py,w.py:<module>,<empty>,,false,1,10,<module>,0,213,1,
107374182401,METHOD,<empty>,<empty>,<empty>,1,52,w.py,w.py:<module>.S.<body>,<empty>,,false,2,3,<body>,6,68,1,
107374182402,METHOD,<empty>,<empty>,<empty>,5,52,w.py,w.py:<module>.S.__init__,<empty>,,false,3,3,__init__,19,68,1,
107374182403,METHOD,<empty>,<empty>,<empty>,18,20,w.py,w.py:<module>.S.<metaClassCallHandler>,<empty>,,false,3,3,<metaClassCallHandler>,32,36,1,
107374182404,METHOD,<empty>,<empty>,<empty>,18,20,w.py,w.py:<module>.S.<fakeNew>,<empty>,,false,3,3,<fakeNew>,32,36,3,
107374182405,METHOD,<empty>,<empty>,<empty>,5,52,w.py,w.py:<module>.S.__init__<metaClassAdapter>,<empty>,,false,3,3,__init__<metaClassAdapter>,19,68,7,
107374182406,METHOD,<empty>,<empty>,<empty>,1,22,w.py,w.py:<module>.run,<empty>,,false,4,10,run,68,213,3,
107374182407,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.assignment,<empty>,,true,,,<operator>.assignment,,,0,
107374182408,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.fieldAccess,<empty>,,true,,,<operator>.fieldAccess,,,0,
107374182409,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.listLiteral,<empty>,,true,,,<operator>.listLiteral,,,0,
107374182410,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.multiplication,<empty>,,true,,,<operator>.multiplication,,,0,
107374182411,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.alloc,<empty>,,true,,,<operator>.alloc,,,0,
107374182412,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.assignmentPlus,<empty>,,true,,,<operator>.assignmentPlus,,,0,
107374182413,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.indexAccess,<empty>,,true,,,<operator>.indexAccess,,,0,
107374182414,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.tupleLiteral,<empty>,,true,,,<operator>.tupleLiteral,,,0,
107374182415,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.dictLiteral,<empty>,,true,,,<operator>.dictLiteral,,,0,
107374182416,METHOD,<speculatedMethods>,NAMESPACE_BLOCK,<empty>,,,<empty>,w.py:<module>.S..__init__,<empty>,,true,,,__init__,,,0,
