68719476736,IDENTIFIER,1,,,x,2,,12,x,,,1,,int
68719476737,IDENTIFIER,1,,,x,2,,13,x,,,1,,int
68719476738,IDENTIFIER,1,,,x,2,,14,x,,,1,,int
68719476739,IDENTIFIER,1,,,s,2,,15,s,,,1,,*w.S
68719476740,IDENTIFIER,1,,,s,2,,16,s,,,1,,*w.S
68719476741,IDENTIFIER,2,,,i,8,,16,i,,,2,,int
68719476742,IDENTIFIER,1,,,p,3,,17,p,,,1,,*int
68719476743,IDENTIFIER,1,,,p,3,,18,p,,,1,,*int
68719476744,IDENTIFIER,1,,,G,2,,19,w,,,1,,w
68719476745,IDENTIFIER,2,,,x,6,,19,x,,,2,,int
68719476746,IDENTIFIER,1,,,a,2,,20,a,,,1,,int
68719476747,IDENTIFIER,2,,,x,10,,20,x,,,2,,int
68719476748,IDENTIFIER,1,,,b,5,,20,b,,,1,,int
68719476749,IDENTIFIER,2,,,x,13,,20,x,,,2,,int
68719476750,IDENTIFIER,1,,,a,2,,21,a,,,1,,int
68719476751,IDENTIFIER,2,,,b,5,,21,b,,,2,,int
68719476752,IDENTIFIER,3,,,b,9,,21,b,,,3,,int
68719476753,IDENTIFIER,4,,,a,12,,21,a,,,4,,int
68719476754,IDENTIFIER,1,,,s,2,,22,s,,,1,,*w.S
68719476755,IDENTIFIER,2,,,a,6,,23,a,,,1,,int
68719476756,IDENTIFIER,2,,,b,6,,24,b,,,1,,int
