68719476736,94489280512,REF
68719476737,94489280512,REF
68719476738,94489280512,REF
68719476739,111669149696,REF
68719476740,111669149696,REF
68719476741,111669149698,REF
68719476742,111669149697,REF
68719476743,111669149697,REF
68719476745,94489280512,REF
68719476746,94489280513,REF
68719476747,94489280512,REF
68719476748,94489280514,REF
68719476749,94489280512,REF
68719476750,94489280513,REF
68719476751,94489280514,REF
68719476752,94489280514,REF
68719476753,94489280513,REF
68719476754,111669149696,REF
68719476755,94489280513,REF
68719476756,94489280514,REF
137438953472,133143986176,REF
137438953473,133143986177,REF
