107374182400,METHOD,src/lib.rs:w,NAMESPACE_BLOCK,<global>,1,,src/lib.rs,src/lib.rs:w::<global>,<empty>,,false,1,,<global>,0,286,1,
107374182401,METHOD,w::S,TYPE_DECL,<init>,1,,src/lib.rs,w::S::<init>,<empty>,,false,1,,<init>,0,46,3,
107374182402,METHOD,src/lib.rs:w::<global>,METHOD,run,1,,src/lib.rs,w::run,<empty>,,false,3,,run,70,285,4,
107374182403,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.assignment,<empty>,,true,,,<operator>.assignment,,,0,
107374182404,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.fieldAccess,<empty>,,true,,,<operator>.fieldAccess,,,0,
107374182405,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.indirection,<empty>,,true,,,<operator>.indirection,,,0,
107374182406,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.assignmentPlus,<empty>,,true,,,<operator>.assignmentPlus,,,0,
107374182407,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.addressOf,<empty>,,true,,,<operator>.addressOf,,,0,
107374182408,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.assignmentMinus,<empty>,,true,,,<operator>.assignmentMinus,,,0,
107374182409,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.indexAccess,<empty>,,true,,,<operator>.indexAccess,,,0,
107374182410,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.tupleLiteral,<empty>,,true,,,<operator>.tupleLiteral,,,0,
