25769803776,BLOCK,-1,,,<empty>,1,,1,0,286,1,,ANY
25769803777,BLOCK,-1,,,<empty>,1,,1,0,46,4,,ANY
25769803778,BLOCK,-1,,,<empty>,46,,3,115,285,4,,ANY
25769803779,BLOCK,-1,,,<empty>,45,,5,196,213,9,,ANY
25769803780,BLOCK,1,,,<empty>,,,,,,1,,ANY
25769803781,BLOCK,1,,,<empty>,,,,,,1,,ANY
25769803782,BLOCK,1,,,<empty>,,,,,,1,,ANY
25769803783,BLOCK,1,,,<empty>,,,,,,1,,ANY
25769803784,BLOCK,1,,,<empty>,,,,,,1,,ANY
25769803785,BLOCK,1,,,<empty>,,,,,,1,,ANY
25769803786,BLOCK,1,,,<empty>,,,,,,1,,ANY
25769803787,BLOCK,1,,,<empty>,,,,,,1,,ANY
