68719476736,IDENTIFIER,1,,,self,16,,1,self,15,25,1,,&w::S
68719476737,IDENTIFIER,2,,,f,16,,1,f,15,25,2,,i32
68719476738,IDENTIFIER,1,,,self,28,,1,self,27,44,1,,&w::S
68719476739,IDENTIFIER,2,,,arr,28,,1,arr,27,44,2,,[i32; 4]
68719476740,IDENTIFIER,1,,,G,12,,2,G,58,59,1,,i32
68719476741,IDENTIFIER,1,,,x,13,,4,x,129,130,1,,i32
68719476742,IDENTIFIER,1,,,x,20,,4,x,136,137,1,,i32
68719476743,IDENTIFIER,1,,,x,28,,4,x,144,145,1,,i32
68719476744,IDENTIFIER,1,,,s,5,,5,s,156,157,1,,&mut w::S
68719476745,IDENTIFIER,1,,,s,14,,5,s,165,166,1,,&mut w::S
68719476746,IDENTIFIER,2,,,i,20,,5,i,171,172,2,,usize
68719476747,IDENTIFIER,1,,,p,29,,5,p,180,181,1,,&mut i32
68719476748,IDENTIFIER,1,,,p,37,,5,p,188,189,1,,&mut i32
68719476749,IDENTIFIER,1,,,G,54,,5,G,205,206,1,,i32
68719476750,IDENTIFIER,2,,,x,58,,5,x,209,210,2,,i32
68719476751,IDENTIFIER,1,,,<tmp>0,5,,6,<tmp>0,218,246,1,,"(i32, i32)"
68719476752,IDENTIFIER,1,,,x,27,,6,x,240,241,1,,i32
68719476753,IDENTIFIER,2,,,x,30,,6,x,243,244,2,,i32
68719476754,IDENTIFIER,1,,,a,14,,6,a,227,228,1,,i32
68719476755,IDENTIFIER,1,,,<tmp>0,5,,6,<tmp>0,218,246,1,,"(i32, i32)"
68719476756,IDENTIFIER,1,,,b,21,,6,b,234,235,1,,i32
68719476757,IDENTIFIER,1,,,<tmp>0,5,,6,<tmp>0,218,246,1,,"(i32, i32)"
68719476758,IDENTIFIER,1,,,a,35,,6,a,248,249,1,,i32
68719476759,IDENTIFIER,2,,,b,38,,6,b,251,252,2,,i32
68719476760,IDENTIFIER,1,,,b,44,,6,b,257,258,1,,i32
68719476761,IDENTIFIER,2,,,a,47,,6,a,260,261,2,,i32
68719476762,IDENTIFIER,1,,,<tmp>1,5,,7,<tmp>1,268,283,1,,"(i32, i32)"
68719476763,IDENTIFIER,1,,,a,14,,7,a,277,278,1,,i32
68719476764,IDENTIFIER,2,,,b,17,,7,b,280,281,2,,i32
