68719476736,IDENTIFIER,1,,,x,7,,4,x,,,1,,int
68719476737,IDENTIFIER,1,,,x,14,,4,x,,,1,,int
68719476738,IDENTIFIER,1,,,x,22,,4,x,,,1,,int
68719476739,IDENTIFIER,1,,,x,29,,4,x,,,1,,int
68719476740,IDENTIFIER,1,,,s,3,,5,s,,,1,,S*
68719476741,IDENTIFIER,1,,,s,13,,5,s,,,1,,S*
68719476742,IDENTIFIER,2,,,i,20,,5,i,,,2,,int
68719476743,IDENTIFIER,1,,,p,30,,5,p,,,1,,int*
68719476744,IDENTIFIER,1,,,p,39,,5,p,,,1,,int*
68719476745,IDENTIFIER,1,,,<global> g,47,,5,g,,,1,,int
68719476746,IDENTIFIER,2,,,x,51,,5,x,,,2,,int
68719476747,IDENTIFIER,1,,,y,7,,6,y,,,1,,int
68719476748,IDENTIFIER,1,,,x,11,,6,x,,,1,,int
