68719476736,IDENTIFIER,1,,,x,6,,3,x,,,1,__ecma.Number,__ecma.Number
68719476737,IDENTIFIER,1,,,x,13,,3,x,,,1,__ecma.Number,__ecma.Number
68719476738,IDENTIFIER,1,,,x,21,,3,x,,,1,__ecma.Number,__ecma.Number
68719476739,IDENTIFIER,1,,,x,28,,3,x,,,1,__ecma.Number,__ecma.Number
68719476740,IDENTIFIER,1,,,s,2,,4,s,,,1,ANY,ANY
68719476741,IDENTIFIER,1,,,s,11,,4,s,,,1,ANY,ANY
68719476742,IDENTIFIER,2,,,i,17,,4,i,,,2,ANY,ANY
68719476743,IDENTIFIER,1,,,g,25,,4,g,,,1,__ecma.Number,__ecma.Number
68719476744,IDENTIFIER,2,,,x,29,,4,x,,,2,__ecma.Number,__ecma.Number
68719476745,IDENTIFIER,1,,,_tmp_1,6,,5,_tmp_1,,,1,,__ecma.Array
68719476746,IDENTIFIER,1,,,_tmp_0,15,,5,_tmp_0,,,1,,__ecma.Array
68719476747,IDENTIFIER,1,,,_tmp_0,16,,5,_tmp_0,,,1,,__ecma.Array
68719476748,IDENTIFIER,0,,,_tmp_0,16,,5,_tmp_0,,,2,,__ecma.Array
68719476749,IDENTIFIER,1,,,x,16,,5,x,,,3,__ecma.Number,__ecma.Number
68719476750,IDENTIFIER,1,,,_tmp_0,19,,5,_tmp_0,,,1,,__ecma.Array
68719476751,IDENTIFIER,0,,,_tmp_0,19,,5,_tmp_0,,,2,,__ecma.Array
68719476752,IDENTIFIER,1,,,x,19,,5,x,,,3,__ecma.Number,__ecma.Number
68719476753,IDENTIFIER,-1,,,_tmp_0,15,,5,_tmp_0,,,4,,__ecma.Array
68719476754,IDENTIFIER,1,,,a,7,__ecma.Number;__ecma.Array:<indexAccess>;_tmp_4:f:<returnValue>:<member>(f),5,a,,,1,__ecma.Number,__ecma.Number
68719476755,IDENTIFIER,1,,,_tmp_1,7,,5,_tmp_1,,,1,,__ecma.Array
68719476756,IDENTIFIER,1,,,b,10,__ecma.Number;__ecma.Array:<indexAccess>,5,b,,,1,__ecma.Number,__ecma.Number
68719476757,IDENTIFIER,1,,,_tmp_1,10,,5,_tmp_1,,,1,,__ecma.Array
68719476758,IDENTIFIER,-1,,,_tmp_1,6,,5,_tmp_1,,,4,,__ecma.Array
68719476759,IDENTIFIER,1,,,_tmp_3,23,,5,_tmp_3,,,1,,__ecma.Array
68719476760,IDENTIFIER,1,,,_tmp_2,32,,5,_tmp_2,,,1,,__ecma.Array
68719476761,IDENTIFIER,1,,,_tmp_2,33,,5,_tmp_2,,,1,,__ecma.Array
68719476762,IDENTIFIER,0,,,_tmp_2,33,,5,_tmp_2,,,2,,__ecma.Array
68719476763,IDENTIFIER,1,,,b,33,__ecma.Number;__ecma.Array:<indexAccess>,5,b,,,3,__ecma.Number,__ecma.Number
68719476764,IDENTIFIER,1,,,_tmp_2,36,,5,_tmp_2,,,1,,__ecma.Array
68719476765,IDENTIFIER,0,,,_tmp_2,36,,5,_tmp_2,,,2,,__ecma.Array
68719476766,IDENTIFIER,1,,,a,36,__ecma.Number;__ecma.Array:<indexAccess>;_tmp_4:f:<returnValue>:<member>(f),5,a,,,3,__ecma.Number,__ecma.Number
68719476767,IDENTIFIER,-1,,,_tmp_2,32,,5,_tmp_2,,,4,,__ecma.Array
68719476768,IDENTIFIER,1,,,a,24,__ecma.Number;__ecma.Array:<indexAccess>;_tmp_4:f:<returnValue>:<member>(f),5,a,,,1,__ecma.Number,__ecma.Number
68719476769,IDENTIFIER,1,,,_tmp_3,24,,5,_tmp_3,,,1,,__ecma.Array
68719476770,IDENTIFIER,1,,,b,27,__ecma.Number;__ecma.Array:<indexAccess>,5,b,,,1,__ecma.Number,__ecma.Number
68719476771,IDENTIFIER,1,,,_tmp_3,27,,5,_tmp_3,,,1,,__ecma.Array
68719476772,IDENTIFIER,-1,,,_tmp_3,23,,5,_tmp_3,,,4,,__ecma.Array
68719476773,IDENTIFIER,1,,,_tmp_4,41,,5,_tmp_4,,,1,,ANY
68719476774,IDENTIFIER,2,,,s,50,,5,s,,,2,ANY,ANY
68719476775,IDENTIFIER,1,,,a,45,__ecma.Number;__ecma.Array:<indexAccess>;_tmp_4:f:<returnValue>:<member>(f),5,a,,,1,__ecma.Number,__ecma.Number
68719476776,IDENTIFIER,1,,,_tmp_4,45,,5,_tmp_4,,,1,,ANY
68719476777,IDENTIFIER,-1,,,_tmp_4,41,,5,_tmp_4,,,3,,ANY
68719476778,IDENTIFIER,1,,,y,6,,6,y,,,1,__ecma.Number,__ecma.Number
68719476779,IDENTIFIER,1,,,x,10,,6,x,,,1,__ecma.Number,__ecma.Number
68719476780,IDENTIFIER,1,,,s,17,,6,s,,,1,ANY,ANY
68719476781,IDENTIFIER,1,,,g,23,,6,g,,,1,__ecma.Number,__ecma.Number
68719476782,IDENTIFIER,1,,,run,0,,2,run,,,1,,w.js::program:run
68719476783,IDENTIFIER,1,,,g,4,,1,g,,,1,__ecma.Number,__ecma.Number
