90194313216,LITERAL,2,,,1,10,__ecma.Number,3,,,2,,__ecma.Number
90194313217,LITERAL,2,,,2,18,__ecma.Number,3,,,2,,__ecma.Number
90194313218,LITERAL,2,,,3,8,__ecma.Number,4,,,2,,__ecma.Number
90194313219,LITERAL,2,,,4,22,__ecma.Number,4,,,2,,__ecma.Number
90194313220,LITERAL,2,,,0,7,__ecma.Number,5,,,2,,__ecma.Number
90194313221,LITERAL,2,,,1,10,__ecma.Number,5,,,2,,__ecma.Number
90194313222,LITERAL,2,,,0,24,__ecma.Number,5,,,2,,__ecma.Number
90194313223,LITERAL,2,,,1,27,__ecma.Number,5,,,2,,__ecma.Number
90194313224,LITERAL,2,,,7,14,__ecma.Number,6,,,2,,__ecma.Number
90194313225,LITERAL,2,,,1,29,__ecma.Number,6,,,2,,__ecma.Number
90194313226,LITERAL,2,,,0,8,__ecma.Number,1,,,2,,__ecma.Number
