107374182400,METHOD,<empty>,<empty>,<empty>,1,,W.java,S.<init>:void(),()V,,false,1,,<init>,,,3,void()
107374182401,METHOD,<empty>,<empty>,"void run(S s, int i)",3,3,W.java,"W.run:void(S,int)",(LS;I)V,,false,4,8,run,,,2,"void(S,int)"
107374182402,METHOD,<empty>,<empty>,<empty>,1,,W.java,W.<init>:void(),()V,,false,2,,<init>,,,3,void()
107374182403,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.assignment,<empty>,,true,,,<operator>.assignment,,,0,
107374182404,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.fieldAccess,<empty>,,true,,,<operator>.fieldAccess,,,0,
107374182405,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.alloc,<empty>,,true,,,<operator>.alloc,,,0,
107374182406,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.assignmentPlus,<empty>,,true,,,<operator>.assignmentPlus,,,0,
107374182407,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.postIncrement,<empty>,,true,,,<operator>.postIncrement,,,0,
107374182408,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.preDecrement,<empty>,,true,,,<operator>.preDecrement,,,0,
107374182409,METHOD,<global>,NAMESPACE_BLOCK,<empty>,,,<empty>,<operator>.indexAccess,<empty>,,true,,,<operator>.indexAccess,,,0,
