68719476736,IDENTIFIER,1,,,this,18,,1,this,,,1,,S
68719476737,IDENTIFIER,1,,,x,9,,5,x,,,1,,int
68719476738,IDENTIFIER,1,,,x,16,,5,x,,,1,,int
68719476739,IDENTIFIER,1,,,x,24,,5,x,,,1,,int
68719476740,IDENTIFIER,1,,,x,31,,5,x,,,1,,int
68719476741,IDENTIFIER,1,,,s,5,,6,s,,,1,,S
68719476742,IDENTIFIER,1,,,s,14,,6,s,,,1,,S
68719476743,IDENTIFIER,2,,,i,20,,6,i,,,2,,int
68719476744,IDENTIFIER,2,,,x,32,,6,x,,,2,,int
68719476745,IDENTIFIER,1,,,y,9,,7,y,,,1,,int
68719476746,IDENTIFIER,1,,,x,13,,7,x,,,1,,int
